59, Relaxed,67,33,55,27,1446324006964
59, Relaxed,67,33,55,27,1446324006964
61, Relaxed,67,33,56,27,1446324007891
61, Relaxed,67,33,56,27,1446324007891
64, Relaxed,67,33,57,28,1446324008916
64, Relaxed,67,33,57,28,1446324008916
67, Relaxed,67,33,57,29,1446324009952
67, Relaxed,67,33,57,29,1446324009952
68, Relaxed,69,35,58,29,1446324010917
68, Relaxed,69,35,58,29,1446324010917
70, Relaxed,69,35,59,30,1446324011930
70, Relaxed,69,35,59,30,1446324011930
71, Relaxed,72,36,60,30,1446324012915
71, Relaxed,72,36,60,30,1446324012915
72, Relaxed,72,36,61,30,1446324013931
72, Relaxed,72,36,61,30,1446324013931
71, Relaxed,75,37,62,29,1446324014919
71, Relaxed,75,37,62,29,1446324014919
71, Relaxed,75,37,62,29,1446324015892
71, Relaxed,75,37,62,29,1446324015892
70, Relaxed,75,37,62,28,1446324016913
70, Relaxed,75,37,62,28,1446324016913
71, Relaxed,75,37,63,28,1446324017888
71, Relaxed,75,37,63,28,1446324017888
75, Relaxed,75,37,65,29,1446324018999
75, Relaxed,75,37,65,29,1446324018999
80, Relaxed; more serene,77,39,66,30,1446324019941
80, Relaxed; more serene,77,39,66,30,1446324019941
83, Relaxed,80,40,67,31,1446324020979
83, Relaxed,80,40,67,31,1446324020979
86, Relaxed,83,41,68,31,1446324021920
86, Relaxed,83,41,68,31,1446324021920
88, Relaxed,85,43,70,32,1446324022940
88, Relaxed,85,43,70,32,1446324022940
89, Relaxed,88,44,71,31,1446324024000
89, Relaxed,88,44,71,31,1446324024000
89, Relaxed,91,45,72,31,1446324024914
89, Relaxed,91,45,72,31,1446324024914
92, Relaxed,91,45,74,31,1446324025939
92, Relaxed,91,45,74,31,1446324025939
92, Relaxed; more serene,93,47,74,31,1446324026908
92, Relaxed; more serene,93,47,74,31,1446324026908
94, Relaxed; more serene,93,47,73,32,1446324027900
94, Relaxed; more serene,93,47,73,32,1446324027900
96, Relaxed; more serene,96,48,72,33,1446324029000
96, Relaxed; more serene,96,48,72,33,1446324029000
95, Relaxed,99,49,71,33,1446324029881
95, Relaxed,99,49,71,33,1446324029881
92, Relaxed,99,49,70,33,1446324030904
92, Relaxed,99,49,70,33,1446324030904
88, Relaxed,99,49,69,32,1446324031927
88, Relaxed,99,49,69,32,1446324031927
83, Relaxed,99,49,68,31,1446324032999
83, Relaxed,99,49,68,31,1446324032999
83, Relaxed,99,49,68,30,1446324033926
83, Relaxed,99,49,68,30,1446324033926
81, Relaxed,99,49,67,30,1446324034904
81, Relaxed,99,49,67,30,1446324034904
79, Relaxed,99,49,65,31,1446324035928
79, Relaxed,99,49,65,31,1446324035928
80, Relaxed,99,49,64,31,1446324036949
80, Relaxed,99,49,64,31,1446324036949
79, Relaxed,99,49,62,32,1446324038168
79, Relaxed,99,49,62,32,1446324038168
